Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Vivo,https://www.crunchbase.com/organization/vivo-af74,"Community and Lifestyle, Health Care, Sports",1-10,"Elderly, Fitness, Health Care, Wellness","Atlanta, Georgia, United States",Vivo offers an online and interactive fitness program designed specifically for seniors.,287,,219,https://teamvivo.com,info@teamvivo.com,https://www.linkedin.com/company/team-vivo,678-701-8486,2021-11-08,Seed,,,
R1 Therapeutics,https://www.crunchbase.com/organization/r1-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","London, England, United Kingdom",R1 Therapeutics is a clinical-stage biopharmaceutical company that develops first-in-class treatments for kidney disease patients.,485,,373,https://r1therapeutics.com,info@r1therapeutics.com,https://www.linkedin.com/company/r1-therapeutics,,2026-03-17,Series A,77500000,USD,77500000
Parallel Health,https://www.crunchbase.com/organization/parallel-health,"Biotechnology, Consumer Goods, Health Care, Science and Engineering",1-10,"Beauty, Biotechnology, Health Care, Health Diagnostics, Wellness","San Francisco, California, United States","Parallel is a next-generation skin health company providing derm telehealth, skin microbiome diagnostics, and precision skincare and Rx",500,,388,https://www.parallelhealth.io/,hello@parallelhealth.io,https://www.linkedin.com/company/parallelhealth/,,2022-09-20,Grant,,,
Patientory,https://www.crunchbase.com/organization/patientory-2,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Health Care, Other, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Blockchain, Electronic Health Record (EHR), Health Care, Software","Atlanta, Georgia, United States",Patientory is a patient data platform that empowers individuals to control their health data and earn personalized rewards.,505,,393,http://patientory.com,info@patientory.com,https://www.linkedin.com/company/patientory,(678) 951-9007,2026-04-03,Venture - Series Unknown,500000,USD,500000
Stipple Bio,https://www.crunchbase.com/organization/stipple-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Medical, Wellness","Cambridge, Massachusetts, United States",Stipple Bio is a biotechnology company that offers cellular profiling and target discovery with epitope resolution.,518,,404,https://www.stipple.bio,info@stipple.bio,https://www.linkedin.com/company/stipple-bio,+1 5099394681,2026-04-06,Series A,100000000,USD,100000000
Littlebird,https://www.crunchbase.com/organization/littlebird-connected-care,"Administrative Services, Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Internet Services, Privacy and Security, Science and Engineering, Software",1-10,"Apps, Artificial Intelligence (AI), Children, Internet of Things, Parenting, Personal Health, Physical Security, SaaS, Wellness","Seattle, Washington, United States",The Future of Family Safety.,621,,481,http://www.littlebird.care,hello@littlebird.care,https://www.linkedin.com/company/littlebirdcare,,2022-11-01,Pre-Seed,250000,USD,250000
Excellergy,https://www.crunchbase.com/organization/excellergy,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Palo Alto, California, United States",Excellergy develops immunology-based therapies focused on treating allergic diseases through novel biologic drug candidates.,813,,641,https://excellergy.com,jgordon@dnacommunications.com,https://www.linkedin.com/company/excellergy,+1 4089155571,2025-10-13,Series A,70000000,USD,70000000
Avisi Technologies,https://www.crunchbase.com/organization/avisi-technologies,"Health Care, Science and Engineering",1-10,"Health Care, Medical Device, Nanotechnology","Redwood City, California, United States",Avisi Technologies develops nanotechnology-based ophthalmic devices to address vision loss from glaucoma and related eye conditions.,849,,671,https://www.avisitech.com,info@avisitech.com,https://www.linkedin.com/company/avisi-technologies,,2026-02-25,Series A,10786700,USD,10786700
RenovoRx,https://www.crunchbase.com/organization/renovorx,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical Device, Therapeutics","Mountain View, California, United States",RenovoRx is developing innovative solutions for targeted delivery of fluids to selected sites in the peripheral vascular system.,979,,773,http://www.renovorx.com,shaun@renovorx.com,http://www.linkedin.com/company/renovorx,(650)-284-4433,2026-03-18,Post-IPO Equity,10000000,USD,10000000
Acurion,https://www.crunchbase.com/organization/acurion,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Machine Learning, Medical","San Diego, California, United States",Acurion develops AI-driven diagnostic solutions that extract actionable genomic biomarker insights from standard pathology images.,"1,064",,842,https://acurionhealth.com,,https://www.linkedin.com/company/acurionhealth,,2026-04-02,Seed,4300000,USD,4300000
